,X,Condition,Price,Model_Year,Mileage,Exterior_Color,Make,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
155,155,Used,11311.05,2009,2523,other,Harley-Davidson,Touring,100,554,Private Seller,FALSE,TRUE,3,TRUE,FALSE,FALSE,0.512373737,0.718181818
156,156,Used,15741.1,2007,8912,red,Harley-Davidson,Cruiser,100,297819,other,FALSE,TRUE,3,FALSE,FALSE,TRUE,0.321590909,0.738636364
157,157,Used,9204.19,2011,5042,other,Harley-Davidson,Touring,100,933,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.157575758,0.603030303
158,158,Used,54621.14,2016,3998,black,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
159,159,Used,25493.77,2012,41064,red,Harley-Davidson,Touring,96,210,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
160,160,Used,39505.15,2015,3996,black,Harley-Davidson,Touring,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
161,161,Used,5452.93,2005,29956,blue,Harley-Davidson,Cruiser,9.1,218,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
162,162,Used,6234,1981,100,white,Honda,Café Racer,100,778,Private Seller,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
163,163,Used,15604.27,2016,1231,blue,Harley-Davidson,Touring,9.7,2509,Private Seller,FALSE,TRUE,1,FALSE,FALSE,TRUE,0.136363636,0.454545455
164,164,Used,10890.91,2014,30000,black,Harley-Davidson,Touring,100,100,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
165,165,Used,13416.39,2010,1302,other,Harley-Davidson,Cruiser,100,1645,other,FALSE,TRUE,0,TRUE,FALSE,FALSE,0,1
166,166,Used,19526.61,2014,2564,blue,Harley-Davidson,Touring,100,960,other,FALSE,TRUE,4,FALSE,FALSE,FALSE,0.302777778,0.572222222
167,167,Used,13973.54,2016,1566,grey,Harley-Davidson,Touring,9.8,9355,other,FALSE,TRUE,0,FALSE,FALSE,FALSE,0.8,0.75
168,168,Used,13843.25,2017,275,black,Harley-Davidson,Other,100,65,Private Seller,TRUE,TRUE,1,FALSE,FALSE,TRUE,0.068181818,0.227272727
169,169,Used,13423.88,2006,90379,white,BMW,Touring,96,718,other,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
170,170,Used,19913.46,2015,4864,red,Harley-Davidson,Touring,100,960,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,0.131349206,0.450198413
171,171,Used,15432.02,2011,9874,other,Harley-Davidson,Touring,6.2,251,other,TRUE,FALSE,1,FALSE,TRUE,FALSE,0,0
172,172,Used,10768.15,2007,26500,black,Honda,Touring,100,2,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
173,173,Used,17590.42,2016,2134,black,Harley-Davidson,Touring,8.8,101,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,-0.166666667,0.433333333
174,174,Used,9774.64,2004,18500,other,Harley-Davidson,Touring,100,994,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
175,175,Used,9258.08,2012,32606,white,Harley-Davidson,Touring,100,361,Private Seller,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
176,176,Used,9698.27,2007,57872,black,Harley-Davidson,Touring,100,297819,other,FALSE,TRUE,2,FALSE,FALSE,TRUE,0.716666667,0.833333333
177,177,Used,3704.14,2004,51673,black,Harley-Davidson,Touring,9.8,3280,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.354166667,0.620833333
178,178,Used,34139.33,2016,3755,blue,Harley-Davidson,Cruiser,100,1016,other,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
179,179,Used,15.1,2017,489,green,Harley-Davidson,Touring,1.7,36,Private Seller,TRUE,TRUE,0,FALSE,FALSE,TRUE,0,0
180,180,Used,20362.97,2017,860,other,Harley-Davidson,Other,100,565,Private Seller,FALSE,TRUE,1,FALSE,FALSE,TRUE,1,1
