"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"183","Used",15741.1,2007,8912,"red","Harley-Davidson","Cruiser",100,297819,"other",FALSE,TRUE,3,FALSE,0,TRUE,0.321590909,0.738636364
"3312","Used",5257.82,2017,2248,"grey","Victory","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"5176","New",28574.7,2017,3,"black","Indian","Gasoline",100,312,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3077","Used",1731.5,2016,0,"orange","KTM","Off-Road",100,117,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"2881","Used",6921.32,2014,320,"white","Other","Dual-Purpose",100,326,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2702","Used",5219.74,2007,2929,"blue","Yamaha","Cruiser",100,286,"Private Seller",FALSE,TRUE,2,FALSE,0,FALSE,0.275,0.475
"5069","Used",9658.47,2017,2107,"grey","Victory","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2606","Used",8692.36,2007,6400,"yellow","Ducati","Sport Bike",100,188,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3514","Used",9191.94,2011,27061,"red","BMW","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3091","Used",6392.28,2014,9621,"white","KTM","Sport Bike",100,2697,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1325","Used",2326.1,2005,16978,"blue","Suzuki","Dual-Purpose",100,288,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3750","Used",4168.38,2000,37200,"black","Harley-Davidson","Gasoline",100,3743,"other",FALSE,TRUE,0,FALSE,0,FALSE,-0.071428571,0.142857143
